fold,MAE,RMSE
1,19.128097581755757,21.598509900863178
2,16.023030855085462,18.76447709233333
3,14.788540829554567,17.123232281318913
4,38.82579166033334,43.54429929459835
5,66.72917510463921,155.4591827926527
6,51.98604518279637,55.28409449365483
7,13.894492745903491,14.598807277799528
8,23.5328445602574,36.91546750141903
9,13.993636028627861,20.642883453024535
10,23.602294160873722,32.24218863821405
11,19.99473673455578,24.480486848332735
12,49.017739069442044,94.95879021111712
13,37.61348389222893,40.24439722938135
14,26.34148997822426,32.05203154846479
15,24.723740886914115,26.907339332443616
16,21.646113775528576,26.548503472013415
17,38.90729566762643,42.297413563504605
18,34.727842034107866,58.74541977965385
