CustomerID,history_size,true_future_items,top10_recs,hits
12347,100,11,"[21731, 20719, 23084, '84625A', 23506, 23508, np.str_('85184C'), 23271, np.str_('85132B'), np.str_('22057')]",7
12356,53,2,"[21843, 22423, np.str_('85159A'), np.str_('23035'), np.str_('21990'), np.str_('23318'), np.str_('21682'), np.str_('22322'), np.str_('22692'), np.str_('22845')]",2
12358,12,7,"['15056N', 20679, '15056BL', '15056P', 'POST', 22059, 22646, np.str_('84510A'), np.str_('84536A'), np.str_('79066K')]",7
12362,183,30,"[20750, 22328, 23292, 23203, '85099B', 23389, 22908, 23254, 23256, 'POST']",10
12364,47,27,"[22613, 22908, 21207, 'POST', np.str_('84997D'), 21498, 22907, 22708, 21380, 21499]",9
12375,11,6,"[23200, 23203, 'POST', 20712, 21930, '85099C', np.str_('84030E'), np.str_('85014B'), np.str_('72800E'), np.str_('85170C')]",6
12380,70,17,"[21731, 22628, 22467, 21931, 22668, 20685, 22382, 22326, 20726, 'POST']",10
12381,67,7,"[22720, 23084, 'POST', 22423, 22417, 21976, np.str_('47504H'), 21212, np.str_('51014C'), np.str_('82613B')]",7
12388,56,8,"[22086, 22910, 22669, 22580, 22338, 22576, 22600, np.str_('84032B'), np.str_('85014A'), np.str_('18097C')]",7
12395,89,15,"[84375, 22661, 22629, 22630, 23084, 20719, 22356, 22326, 23390, 21975]",10
12406,48,56,"[84375, 23084, 23256, 22620, 22964, 22556, '84997C', '84997A', 21833, 21544]",10
12415,434,26,"[22662, 21770, 22331, 23192, 23206, 23084, 22326, 22630, 22631, 21731]",10
12417,150,20,"[23170, 23174, 23173, '16161P', 21135, 23175, 22666, 23007, 22624, 'POST']",10
12421,25,9,"['47567B', 'POST', 23267, 21108, 23311, 23234, np.str_('35095B'), np.str_('84509A'), 21907, np.str_('85049C')]",7
12423,86,17,"[23204, 22252, 20724, 'POST', 22865, 22632, np.str_('85032B'), np.str_('84926E'), 20718, 21108]",8
12427,24,6,"[21328, 23348, 22634, 'POST', 23084, np.str_('51014L'), np.str_('84927F'), np.str_('85185B'), np.str_('47594B'), np.str_('79191C')]",5
12428,252,15,"['85099B', 23203, 20712, 22385, 21115, 22386, 23341, 22192, 'POST', 23380]",10
12429,62,27,"[82582, 22727, 22728, 22730, 22726, 22725, '85159B', 21914, 22396, 21619]",10
12433,197,68,"[16008, 23169, 23184, 21908, 22666, '47559B', 22667, '84596B', 22670, 16014]",10
12437,109,23,"[22554, 23084, 22551, 22435, 21731, 21080, 22236, 22215, 22333, 22423]",10
12438,49,49,"[22554, 21914, 22326, 22560, 22467, 23291, 23289, 21232, 22423, 22635]",10
12444,113,34,"[85053, 82482, 22720, '85232D', 22626, 22847, 22624, 'POST', 23407, np.str_('85032A')]",9
12449,84,59,"[22029, 22413, 20750, 21906, 22712, 22326, 22328, 22555, 22728, 22727]",10
12451,221,58,"[22303, 22551, 22704, 22098, 22975, 22467, 20719, 22908, 22382, 21209]",10
12462,40,22,"[22784, 22423, 21232, 21231, 37449, 22890, 22061, 37447, 22063, 'POST']",10
12464,6,5,"[22625, 22847, 22846, 22624, 'POST', np.str_('85099C'), np.str_('85014A'), np.str_('15056P'), np.str_('15044A'), np.str_('85123A')]",5
12465,26,21,"['POST', 22603, 22576, 22600, 22574, 22329, 22144, 84945, 23082, 22573]",10
12471,134,58,"[23174, 23307, 23309, 22551, 23197, 22556, 22554, 23319, 22813, 23198]",10
12474,217,61,"[22029, 22352, 22750, 22328, 22326, 20682, 23084, 22556, 22554, 22551]",10
12476,122,66,"[84879, 22467, 22979, 84792, 22080, 22077, 23245, 22781, 23371, 22576]",10
12477,181,45,"[84356, 21523, 22173, '15044A', '84406B', 21035, 21668, 22840, 22199, 84792]",10
12480,97,40,"[22303, 22326, 22111, 22907, 22629, 21481, 22895, 'POST', 22930, 22620]",10
12481,142,12,"[21156, 22556, 22620, 'POST', 22555, np.str_('84926E'), 84077, 23289, 22549, 23291]",9
12483,46,6,"[22467, 21731, 23084, 'POST', 22328, np.str_('85032C'), np.str_('85039B'), np.str_('35004C'), np.str_('21155'), np.str_('22952')]",5
12488,26,27,"[20749, 20750, 22175, 23084, 22748, 22992, 22139, 23365, 21936, 23371]",10
12490,110,51,"[22704, 21156, 21914, 21086, 22090, 22381, 21731, 21880, 23084, 23203]",10
12494,56,11,"[23084, 22890, 'POST', np.str_('85231B'), 22403, 22398, np.str_('85014A'), np.str_('72351B'), '84596B', 21981]",7
12498,13,10,"[22175, 'POST', 23206, 20728, 20726, 20719, 23207, np.str_('85035C'), 23204, np.str_('85049A')]",8
12500,34,5,"[23211, 23212, 23213, 23210, 'POST', np.str_('85061W'), np.str_('84029E'), np.str_('84997A'), np.str_('85135C'), np.str_('22266')]",5
12504,6,3,"[22776, 22220, 22236, np.str_('85032B'), np.str_('85099C'), np.str_('85159A'), np.str_('37446'), np.str_('23432'), np.str_('23374'), np.str_('16225')]",3
12508,47,17,"[22219, 22139, '46000S', 22619, 21439, 21926, 22255, 82482, 20719, 20724]",10
12517,181,73,"[23309, 22055, 22951, 22554, 22551, 22417, 21975, 21976, 21977, 21212]",10
12518,75,18,"[22326, 22328, 22556, 23084, 23389, 23390, 21559, 22551, 'POST', np.str_('85231B')]",9
12523,74,13,"[21531, 21844, 22423, 23164, 22294, 22699, 23175, 23245, 23173, 23020]",10
12524,111,4,"['POST', 22327, np.str_('84926E'), np.str_('72351A'), 22326, np.str_('84509B'), np.str_('85186C'), np.str_('85132B'), np.str_('22288'), np.str_('22920')]",3
12526,54,13,"[22328, 22326, 'POST', 22621, np.str_('85032B'), 22077, 23199, 21257, 22074, np.str_('85049E')]",8
12528,47,12,"['47559B', 22851, 48185, '47591D', '47567B', 21232, 22649, 22423, 'POST', 21124]",10
12539,125,43,"[22697, 20914, 22699, 22698, 22961, 22960, 21210, 22423, 22312, 22962]",10
12540,270,27,"[23298, 21770, 84879, 21908, 21668, 23240, 21671, 21164, 21172, 22077]",10
12553,88,30,"[22554, '51014L', 23206, 22435, '85099B', 21931, '15056BL', 22568, 23389, 22746]",10
12557,15,4,"['84997C', '84997B', '84997D', 20728, np.str_('84510A'), np.str_('85169A'), np.str_('37370'), np.str_('21870'), np.str_('21533'), np.str_('20977')]",4
12560,77,28,"[22029, 22692, 22725, 23235, 23244, 23237, '84510A', 22728, 22551, 22630]",10
12562,75,37,"[23213, 22752, 23203, 22662, 23206, 23084, 23076, 23199, 22728, 20725]",10
12567,271,81,"[84879, 20750, 22659, 23206, 22326, 23199, 23200, 22467, 22726, 22328]",10
12569,66,41,"[22055, 37448, '47567B', 22398, 21481, 21232, 22649, 'POST', 22776, 22624]",10
12572,36,24,"[22727, 22984, 21871, 22726, 22423, 22734, 'POST', 23171, 22698, 23170]",10
12578,70,44,"[22273, 22271, 'POST', 22960, 22666, 23209, np.str_('85071A'), 22866, 20972, 22867]",9
12583,106,33,"[21156, 23368, 22352, 21094, 23388, 21086, 22326, 22728, 23367, 22991]",10
12584,39,18,"[21216, 22720, 22627, '85123A', 22847, 23243, 22667, 22666, 48138, 22845]",10
12597,178,12,"[21441, 21340, 22780, 22804, 23084, 'POST', 23298, 23408, np.str_('47504H'), np.str_('72807C')]",8
12598,55,37,"[23254, 23256, 23084, 23371, 23388, 23389, 23390, 22620, 21914, 21791]",10
12610,83,9,"[22593, 22594, 23332, 23333, 22595, 21671, 'POST', np.str_('84926E'), 22144, 22142]",9
12615,74,20,"[22028, 22029, 21914, 20750, 23084, 23154, 22966, '85014B', 21481, 'POST']",10
12619,42,17,"[23295, 23307, 23293, 84988, 21974, 22079, 84987, 21210, 'POST', 22029]",10
12620,56,35,"[23206, 20725, 22603, 84836, 23311, np.str_('84926E'), 23319, 23318, 22383, 22814]",9
12621,219,73,"[21931, 23084, 21914, 22734, 21212, 21208, 22865, 21209, 21194, 22077]",10
12626,225,13,"[22029, 22382, 22964, 22551, 'POST', 23245, 20726, 23234, 21058, 23157]",10
12627,143,29,"[21668, 21672, 21671, 21670, 22326, 22554, 22962, 20712, 'POST', 20685]",10
12628,26,13,"[23077, 22654, 'POST', 23202, 23353, 21498, np.str_('84032B'), 23265, 23264, 23266]",9
12630,35,29,"[21733, '85231B', 'POST', 22221, 23373, 23096, 21154, np.str_('85183B'), 23242, 23234]",9
12640,42,9,"[48138, 22193, 23319, 'POST', 23534, np.str_('85099F'), np.str_('84997C'), np.str_('84795B'), np.str_('85170C'), np.str_('15044C')]",5
12642,31,12,"[22077, 22734, '85049E', 'POST', 22558, 22094, 21039, 22138, 21577, 21218]",10
12646,24,21,"[23328, 23366, 21240, 21238, 22083, 21242, 20975, '84997D', 20676, 20674]",10
12647,78,7,"[22505, '47559B', 21154, 22507, 'POST', np.str_('84596B'), np.str_('85071C'), np.str_('85025C'), np.str_('18098C'), np.str_('23290')]",5
12654,28,5,"[22556, 'POST', 84375, 22562, 22563, np.str_('85014A'), np.str_('16169E'), np.str_('82613D'), np.str_('72802A'), np.str_('22148')]",5
12656,71,28,"[23203, '85099B', 22726, 22326, 22727, 22628, 22139, 20712, 23108, 'POST']",10
12657,29,9,"[22900, 22423, 'POST', 22809, 23318, 22357, 23320, 22959, 22818, np.str_('72802A')]",9
12662,106,37,"[22144, 20750, 21914, 22175, 22331, 22326, 20723, 22139, 20719, 22898]",10
12664,10,4,"['84997C', '84997D', '84997A', 'POST', np.str_('85170C'), np.str_('47574A'), np.str_('35004C'), np.str_('23378'), np.str_('22273'), np.str_('22471')]",4
12668,104,38,"[20750, 48185, 21154, 21535, 22303, 22328, 20914, 22064, 21165, 22326]",10
12670,54,14,"[21731, 23084, 22328, 23349, 22966, 23351, 22303, 22556, 'POST', 22555]",10
12673,23,19,"[22555, 22554, 23344, 20712, 21452, 20724, 22138, 21114, 22139, 20750]",10
12676,26,8,"['POST', 22553, 23319, 23318, np.str_('85049E'), 22332, 22334, 22734, np.str_('15044A'), np.str_('85014B')]",7
12680,29,15,"[22629, 22726, 22728, 22727, 22899, 23254, 22367, 22556, 22555, 22730]",10
12681,249,58,"[20750, 21121, 22320, 22326, 21559, 23084, 22312, 22556, 23196, 22555]",10
12682,186,54,"[23298, 20750, 22551, 84375, 47566, 23240, 22556, '85099B', 23084, '15056BL']",10
12683,173,34,"[22303, 21154, 22435, 22437, 21086, 21035, 22972, 22328, 22973, 23250]",10
12684,38,34,"[22728, 22553, 22557, 22556, 22620, 22992, 'POST', 21918, 22534, 21917]",10
12685,104,22,"[35970, 22940, 23203, 23209, 22727, 22726, 22728, 'POST', 22601, 23109]",10
